epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.0292,0.97439,2.01897,1.19085,0.5399,0.97685,0.93821,0.69556,1.05253,1.60933,1.19444,0.000467673,0.000467673,0.000467673
2,49.3859,0.89157,0.6263,1.11076,0.38214,0.52353,0.51124,0.30973,1.66506,3.6253,1.76073,0.000850549,0.000850549,0.000850549
3,69.4427,0.84496,0.51313,1.0901,0.88427,0.49915,0.73475,0.46342,1.38776,3.00108,1.42743,0.00113911,0.00113911,0.00113911
4,90.1168,0.78208,0.48612,1.05814,0.9887,1,0.995,0.87095,0.59655,0.37616,0.9467,0.00100459,0.00100459,0.00100459
5,110.902,0.80505,0.43768,1.05136,0.99422,1,0.995,0.86453,0.60391,0.38871,0.94939,0.000863116,0.000863116,0.000863116
6,130.573,0.71362,0.38121,1.01983,0.99422,0.99811,0.995,0.88219,0.55067,0.28241,0.94218,0.000721645,0.000721645,0.000721645
7,149.988,0.68388,0.37698,0.99961,0.99757,1,0.995,0.85544,0.62599,0.31713,0.94881,0.000580174,0.000580174,0.000580174
8,169.216,0.67957,0.34363,0.99739,0.9973,1,0.995,0.89013,0.53777,0.26891,0.92166,0.000438703,0.000438703,0.000438703
9,188.409,0.63392,0.31743,0.96542,0.99643,0.99967,0.995,0.8928,0.51744,0.25382,0.90578,0.000297232,0.000297232,0.000297232
10,208.329,0.60838,0.29012,0.97185,0.99652,0.99931,0.995,0.9138,0.47082,0.22399,0.89531,0.000155761,0.000155761,0.000155761
