epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.3347,1.43445,0.90312,1.46688,0.92548,0.95729,0.98089,0.6886,1.07843,0.53138,1.24628,0.00066092,0.00066092,0.00066092
2,106.124,1.11387,0.55112,1.21602,0.93251,0.96252,0.98291,0.68587,1.10309,0.51842,1.24676,0.00119616,0.00119616,0.00119616
3,153.494,1.08711,0.5143,1.19975,0.93453,0.96468,0.98302,0.67069,1.21108,0.50132,1.32699,0.00159939,0.00159939,0.00159939
4,201.56,1.08859,0.50421,1.19998,0.92718,0.97178,0.9811,0.66629,1.17374,0.53198,1.29356,0.001406,0.001406,0.001406
5,247.455,1.04791,0.48307,1.1682,0.93419,0.9669,0.9816,0.67293,1.16189,0.47275,1.29066,0.001208,0.001208,0.001208
6,294.609,1.04457,0.4705,1.17049,0.93741,0.96717,0.98482,0.71419,1.02673,0.43843,1.19311,0.00101,0.00101,0.00101
7,342.857,1.02069,0.45686,1.15358,0.93914,0.96595,0.98582,0.70974,1.07777,0.4358,1.21216,0.000812,0.000812,0.000812
8,388.18,1.00187,0.44176,1.13743,0.93914,0.96827,0.98661,0.74689,0.96174,0.39949,1.1514,0.000614,0.000614,0.000614
9,435.505,0.97477,0.42817,1.11982,0.93836,0.96878,0.98541,0.70959,1.10396,0.43169,1.2358,0.000416,0.000416,0.000416
10,484.145,0.96174,0.41934,1.11004,0.94319,0.96741,0.98688,0.74261,0.97803,0.39274,1.15428,0.000218,0.000218,0.000218
